ORGANISM_ID,ORGANISM_NAME,ORGANISM_DESCRIPTION,STRAIN_ID,STRAIN_TYPE,STRAIN_CODE,STRAIN_DESCRIPTION,STRAIN_NOTES,ORGANISM_CLASS,RISK_GROUP,PATHOGEN,BIOLOGIST,IMPORT_PERMIT,OXYGEN_PREF,ATMOSPHERE_PREF,NUTRIENT_PREF,BIOFILM_PREF,STATUS,ACREATEDBY,ACREATEDDATE,AMODIFIEDBY,AMODIFIEDDATE,TAX_ID,BIOL_APPROVAL,SPECIAL_PRECAUTION,STRAIN_TISSUE,SCREEN_PANEL,LAB_RESTRICTION,SEQUENCE,SEQUENCE_LINK,SEQUENCE_MLST,MTA_DOCUMENT,MTA_STATUS,GEN_TYPE
GN_1172,Pseudomonas aeruginosa,,4,,Pa EG 4,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,10/FEB/22,ORGDB,17/AUG/22,,,,,CARBX-Egypt-SRTACity,,,,,,,
GN_1173,Pseudomonas aeruginosa,,17,,Pa EG 17,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,10/FEB/22,ORGDB,17/AUG/22,,,,,CARBX-Egypt-SRTACity,,,,,,,
GN_1174,Pseudomonas fluorescens,,15,,Pf EG 15,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,10/FEB/22,ORGDB,17/AUG/22,,,,,CARBX-Egypt-SRTACity,,,,,,,
GN_1175,Acinetobacter baumannii,,761270348,,Ab NG 761270348,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,05/APR/22,ORGDB,17/AUG/22,,,,,CARBX-Nigeria-ICL,,,,,,,
GN_1176,Acinetobacter baumannii,,761756919,,Ab 761756919,,,Gram-Negative,,,T.Duarte,,Aerobic,,,,1,ORGDB,05/APR/22,uqtduar2,17/AUG/22,,,,,,PC2.0,,,,,,
GN_1177,Acinetobacter baumannii,,761778803,,Ab NG 761778803,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,05/APR/22,ORGDB,17/AUG/22,,,,,CARBX-Nigeria-ICL,,,,,,,
GN_1178,Acinetobacter baumannii,,761831767,,Ab NG 761831767,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,05/APR/22,ORGDB,17/AUG/22,,,,,CARBX-Nigeria-ICL,,,,,,,
GN_1179,Acinetobacter baumannii,,761839547,,Ab NG 761839547,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,05/APR/22,ORGDB,17/AUG/22,,,,,CARBX-Nigeria-ICL,,,,,,,
GN_118,Bacteroides vulgatus,,ATCC 31376,,,"28, Used to produce vaccine against swine dysentery",Modified chopped meat medium/TSA+5% sheep blood,Gram-Negative,RG2,,A.Elliott,,Anaerobic Obligate,,,,,ORGDB,10/OCT/17,ORGDB,17/JAN/19,821,,,,,PC2.2,,,,,,
GN_1180,Acinetobacter baumannii,,761839723,,Ab NG 761839723,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,05/APR/22,ORGDB,17/AUG/22,,,,,CARBX-Nigeria-ICL,,,,,,,
GN_1181,Acinetobacter haemolyticus,,761248275,,,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,05/APR/22,,,,,,,CARBX-Nigeria-ICL,,,,,,,
GN_1182,Acinetobacter iwoffii,,761810956,,,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,05/APR/22,,,,,,,CARBX-Nigeria-ICL,,,,,,,
GN_1183,Citrobacter koseri,,761826796,,,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,05/APR/22,,,,,,,CARBX-Nigeria-ICL,,,,,,,
GN_1184,Enterobacter cloacae,,761834684,,,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,05/APR/22,,,,,,,CARBX-Nigeria-ICL,,,,,,,
GN_1185,Escherichia coli,,761751334,,Ec NG 761751334,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,05/APR/22,ORGDB,17/AUG/22,,,,,CARBX-Nigeria-ICL,,,,,,,
GN_1186,Escherichia coli,,761757934,,Ec NG 761757934,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,05/APR/22,ORGDB,17/AUG/22,,,,,CARBX-Nigeria-ICL,,,,,,,
GN_1187,Escherichia coli,,761829176,,Ec NG 761829176,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,05/APR/22,ORGDB,17/AUG/22,,,,,CARBX-Nigeria-ICL,,,,,,,
GN_1188,Escherichia coli,,761830200,,Ec NG 761830200,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,05/APR/22,ORGDB,17/AUG/22,,,,,CARBX-Nigeria-ICL,,,,,,,
GN_1189,Escherichia coli,,761831205,,Ec NG 761831205,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,05/APR/22,ORGDB,17/AUG/22,,,,,CARBX-Nigeria-ICL,,,,,,,
GN_119,Parabacteroides goldsteinii,,BAA-1180,Type,,"WAL 12034, CCUG 48944",Modified Reinforced Clostridial Agar/Broth Medium (prereduced)/TSA+5% sheep blood. Original ATCC lyphilised pellet took 6 days to grow,Gram-Negative,RG2,,A.Elliott,,Anaerobic Obligate,80% N2 10% CO2 10% H2,,,,ORGDB,10/OCT/17,ORGDB,17/JAN/19,328812,,,,,PC2.2,,,,,,
GN_1190,Escherichia coli,,761831834,,Ec NG 761831834,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,05/APR/22,ORGDB,17/AUG/22,,,,,CARBX-Nigeria-ICL,,,,,,,
GN_1191,Escherichia coli,,761832570,,Ec NG 761832570,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,05/APR/22,ORGDB,17/AUG/22,,,,,CARBX-Nigeria-ICL,,,,,,,
GN_1192,Escherichia coli,,761832918,,Ec NG 761832918,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,05/APR/22,ORGDB,17/AUG/22,,,,,CARBX-Nigeria-ICL,,,,,,,
GN_1193,Escherichia coli,,761833438,,Ec NG 761833438,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,05/APR/22,ORGDB,17/AUG/22,,,,,CARBX-Nigeria-ICL,,,,,,,
GN_1194,Escherichia coli,,761839723,,Ec NG 761839723,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,05/APR/22,ORGDB,17/AUG/22,,,,,CARBX-Nigeria-ICL,,,,,,,
GN_1195,Klebsiella oxytoca,,761831852,,,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,05/APR/22,,,,,,,CARBX-Nigeria-ICL,,,,,,,
GN_1196,Klebsiella pneumoniae,,716771740,,Kp NG 716771740,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,05/APR/22,ORGDB,17/AUG/22,,,,,CARBX-Nigeria-ICL,,,,,,,
GN_1197,Klebsiella pneumoniae,,761765584,,Kp NG 761765584,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,05/APR/22,ORGDB,17/AUG/22,,,,,CARBX-Nigeria-ICL,,,,,,,
GN_1198,Klebsiella pneumoniae,,761810954,,Kp NG 761810954,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,05/APR/22,ORGDB,17/AUG/22,,,,,CARBX-Nigeria-ICL,,,,,,,
GN_1199,Klebsiella pneumoniae,,761825276,,Kp NG 761825276,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,05/APR/22,ORGDB,17/AUG/22,,,,,CARBX-Nigeria-ICL,,,,,,,
GN_120,Parabacteroides distasonis,,ATCC 8503,Type,,NCTC 11152,Modified chopped meat medium/TSA+5% sheep blood,Gram-Negative,RG2,,A.Elliott,,Anaerobic Obligate,80% N2 10% CO2 10% H2,,,,ORGDB,10/OCT/17,ORGDB,17/JAN/19,823,,,,,PC2.2,,,,,,
GN_1200,Klebsiella pneumoniae,,761825301,,Kp NG 761825301,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,05/APR/22,ORGDB,17/AUG/22,,,,,CARBX-Nigeria-ICL,,,,,,,
GN_1201,Klebsiella pneumoniae,,761826563,,Kp NG 761826563,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,05/APR/22,ORGDB,17/AUG/22,,,,,CARBX-Nigeria-ICL,,,,,,,
GN_1202,Klebsiella pneumoniae,,761826619,,Kp NG 761826619,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,05/APR/22,ORGDB,17/AUG/22,,,,,CARBX-Nigeria-ICL,,,,,,,
GN_1203,Klebsiella pneumoniae,,761826907,,Kp NG 761826907,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,05/APR/22,ORGDB,17/AUG/22,,,,,CARBX-Nigeria-ICL,,,,,,,
GN_1204,Klebsiella pneumoniae,,761830041,,Kp NG 761830041,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,05/APR/22,ORGDB,17/AUG/22,,,,,CARBX-Nigeria-ICL,,,,,,,
GN_1205,Klebsiella pneumoniae,,761830588,,Kp NG 761830588,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,05/APR/22,ORGDB,17/AUG/22,,,,,CARBX-Nigeria-ICL,,,,,,,
GN_1206,Klebsiella pneumoniae,,761831205,,Kp NG 761831205,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,05/APR/22,ORGDB,17/AUG/22,,,,,CARBX-Nigeria-ICL,,,,,,,
GN_1207,Klebsiella pneumoniae,,761831834,,Kp NG 761831834,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,05/APR/22,ORGDB,17/AUG/22,,,,,CARBX-Nigeria-ICL,,,,,,,
GN_1208,Klebsiella pneumoniae,,761831834,,Kp NG 761831834,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,05/APR/22,ORGDB,17/AUG/22,,,,,CARBX-Nigeria-ICL,,,,,,,
GN_1209,Klebsiella pneumoniae,,761832449,,Kp NG 761832449,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,05/APR/22,ORGDB,17/AUG/22,,,,,CARBX-Nigeria-ICL,,,,,,,
GN_121,Parabacteroides distasonis,,BAA-1295,Control,,Vitek 400127 [NSB 50047]/QC strain,Modified chopped meat medium/TSA+5% sheep blood,Gram-Negative,RG2,,A.Elliott,,Anaerobic Obligate,80% N2 10% CO2 10% H2,,,,ORGDB,10/OCT/17,ORGDB,17/JAN/19,823,,,,,PC2.2,,,,,,
GN_1210,Klebsiella pneumoniae,,761833733,,Kp NG 761833733,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,05/APR/22,ORGDB,17/AUG/22,,,,,CARBX-Nigeria-ICL,,,,,,,
GN_1211,Klebsiella pneumoniae,,761834708,,Kp NG 761834708,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,05/APR/22,ORGDB,17/AUG/22,,,,,CARBX-Nigeria-ICL,,,,,,,
GN_1212,Klebsiella pneumoniae,,761834709,,Kp NG 761834709,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,05/APR/22,ORGDB,17/AUG/22,,,,,CARBX-Nigeria-ICL,,,,,,,
GN_1213,Klebsiella pneumoniae,,761834831,,Kp NG 761834831,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,05/APR/22,ORGDB,17/AUG/22,,,,,CARBX-Nigeria-ICL,,,,,,,
GN_1214,Klebsiella pneumoniae,,761933594,,Kp NG 761933594,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,05/APR/22,ORGDB,17/AUG/22,,,,,CARBX-Nigeria-ICL,,,,,,,
GN_1215,Proteus mirabilis,,761837948,,,,,Gram-Negative,,,T.Duarte,,Aerobic,,,,1,ORGDB,05/APR/22,uqtduar2,29/MAY/22,,,,,,PC2.0,,,,,,
GN_1216,Pseudomonas aeruginosa,,761242090,,,,,Gram-Negative,,,T.Duarte,,Aerobic,,,,1,ORGDB,05/APR/22,uqtduar2,29/MAY/22,,,,,,PC2.0,,,,,,
GN_1217,Pseudomonas aeruginosa,,761244011,,Pa NG 761244011,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,05/APR/22,ORGDB,17/AUG/22,,,,,CARBX-Nigeria-ICL,,,,,,,
GN_1218,Pseudomonas aeruginosa,,761248275,,Pa NG 761248275,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,05/APR/22,ORGDB,17/AUG/22,,,,,CARBX-Nigeria-ICL,,,,,,,
GN_1219,Pseudomonas aeruginosa,,761269887,,Pa NG 761269887,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,05/APR/22,ORGDB,17/AUG/22,,,,,CARBX-Nigeria-ICL,,,,,,,
GN_122,Klebsiella pneumoniae,,101071633:01,Clinical Isolate;Resistant;Resistant XDR,,KPC+,"Media conditions: LB/ NA/ caMHB
a.k.a. 13_GR_14 (Pitt ME et al. 2018. doi: 10.1099/mgen.0.000158)",Gram-Negative,RG2,,A.Elliott,,Anaerobic Facultative,,,,0,ORGDB,10/OCT/17,ORGDB,27/AUG/21,573,,,,,PC2.3,WGS,NCBI SAMN04868733,258,,,"KPC-2, OXA-9, TEM-1A, CatA1, oqxA, oqxB, sul1, dfrA12, aac(6')Ib-cr, mph(A)"
GN_1220,Pseudomonas aeruginosa,,761758866,,Pa NG 761758866,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,05/APR/22,ORGDB,17/AUG/22,,,,,CARBX-Nigeria-ICL,,,,,,,
GN_1221,Pseudomonas aeruginosa,,761772775,,Pa NG 761772775,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,05/APR/22,ORGDB,17/AUG/22,,,,,CARBX-Nigeria-ICL,,,,,,,
GN_1222,Pseudomonas aeruginosa,,761809468,,Pa NG 761809468,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,05/APR/22,ORGDB,17/AUG/22,,,,,CARBX-Nigeria-ICL,,,,,,,
GN_1223,Pseudomonas aeruginosa,,761813225,,Pa NG 761813225,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,05/APR/22,ORGDB,17/AUG/22,,,,,CARBX-Nigeria-ICL,,,,,,,
GN_1224,Pseudomonas aeruginosa,,761827861,,,,,Gram-Negative,,,T.Duarte,,Aerobic,,,,1,ORGDB,05/APR/22,uqtduar2,29/MAY/22,,,,,,PC2.0,,,,,,
GN_1225,Pseudomonas aeruginosa,,761827402,,Pa NG 761827402,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,05/APR/22,ORGDB,17/AUG/22,,,,,CARBX-Nigeria-ICL,,,,,,,
GN_1226,Pseudomonas aeruginosa,,761827402,,Pa NG 761827402,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,05/APR/22,ORGDB,17/AUG/22,,,,,CARBX-Nigeria-ICL,,,,,,,
GN_1227,Klebsiella pneumoniae,,761820613,,,,,Gram-Negative,,,T.Duarte,,Aerobic,,,,1,ORGDB,05/APR/22,uqtduar2,29/MAY/22,,,,,,PC2.0,,,,,,
GN_1228,Klebsiella pneumoniae,,761827801,,,,,Gram-Negative,,,T.Duarte,,Aerobic,,,,1,ORGDB,05/APR/22,uqtduar2,29/MAY/22,,,,,,PC2.0,,,,,,
GN_1229,Pseudomonas aeruginosa,,761828422,,Pa NG 761828422,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,05/APR/22,ORGDB,17/AUG/22,,,,,CARBX-Nigeria-ICL,,,,,,,
GN_123,Klebsiella pneumoniae,,"Oyra, 100967865:01",Clinical Isolate;Resistant;Resistant XDR,,No info given,"Media conditions: LB/ NA/ caMHB
a.k.a. 14_GR_14 (Pitt ME et al. 2018. doi: 10.1099/mgen.0.000158)",Gram-Negative,RG2,,A.Elliott,,Anaerobic Facultative,,,,0,ORGDB,10/OCT/17,ORGDB,27/AUG/21,573,,,,,PC2.3,WGS,NCBI SAMN04868734,258,,,"KPC-2, OXA-9, TEM-1A, CatA1, oqxA, oqxB, sul1, dfrA12, aac(6')Ib-cr, mph(A)"
GN_1230,Pseudomonas aeruginosa,,761829033,,Pa NG 761829033,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,05/APR/22,ORGDB,17/AUG/22,,,,,CARBX-Nigeria-ICL,,,,,,,
GN_1231,Pseudomonas aeruginosa,,761829197,,Pa NG 761829197,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,05/APR/22,ORGDB,17/AUG/22,,,,,CARBX-Nigeria-ICL,,,,,,,
GN_1232,Pseudomonas aeruginosa,,761829915,,Pa NG 761829915,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,05/APR/22,ORGDB,17/AUG/22,,,,,CARBX-Nigeria-ICL,,,,,,,
GN_1233,Pseudomonas aeruginosa,,761830042,,Pa NG 761830042,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,05/APR/22,ORGDB,17/AUG/22,,,,,CARBX-Nigeria-ICL,,,,,,,
GN_1234,Pseudomonas aeruginosa,,761830120,,,,,Gram-Negative,,,T.Duarte,,Aerobic,,,,1,ORGDB,05/APR/22,uqtduar2,29/MAY/22,,,,,,PC2.0,,,,,,
GN_1235,Pseudomonas aeruginosa,,761830197,,Pa NG 761830197,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,05/APR/22,ORGDB,17/AUG/22,,,,,CARBX-Nigeria-ICL,,,,,,,
GN_1236,Pseudomonas aeruginosa,,761830334,,Pa NG 761830334,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,05/APR/22,ORGDB,17/AUG/22,,,,,CARBX-Nigeria-ICL,,,,,,,
GN_1237,Pseudomonas aeruginosa,,761830782,,Pa NG 761830782,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,05/APR/22,ORGDB,17/AUG/22,,,,,CARBX-Nigeria-ICL,,,,,,,
GN_1238,Pseudomonas aeruginosa,,761831710,,Pa NG 761831710,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,05/APR/22,ORGDB,17/AUG/22,,,,,CARBX-Nigeria-ICL,,,,,,,
GN_1239,Pseudomonas aeruginosa,,761832177,,Pa NG 761832177,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,05/APR/22,ORGDB,17/AUG/22,,,,,CARBX-Nigeria-ICL,,,,,,,
GN_124,Klebsiella pneumoniae,,"Koprana, 100918941:01",Clinical Isolate;Resistant;Resistant XDR,,KPC+,"Media conditions: LB/ NA/ caMHB
a.k.a. 15_GR_13 (Pitt ME et al. 2018. doi: 10.1099/mgen.0.000158)",Gram-Negative,RG2,,A.Elliott,,Anaerobic Facultative,,,,0,ORGDB,10/OCT/17,ORGDB,27/AUG/21,573,,,,,PC2.3,WGS,NCBI SAMN04868735,258,,,"KPC-2, OXA-9, SHV-12, TEM-1A, CatA1, oqxA, oqxB, sul1, dfrA12, aac(6')Ib-cr, mph(A)"
GN_1240,Pseudomonas aeruginosa,,761832449,,Pa NG 761832449,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,05/APR/22,ORGDB,17/AUG/22,,,,,CARBX-Nigeria-ICL,,,,,,,
GN_1241,Pseudomonas aeruginosa,,761833256,,Pa NG 761833256,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,05/APR/22,ORGDB,17/AUG/22,,,,,CARBX-Nigeria-ICL,,,,,,,
GN_1242,Pseudomonas aeruginosa,,761833316,,Pa NG 761833316,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,05/APR/22,ORGDB,17/AUG/22,,,,,CARBX-Nigeria-ICL,,,,,,,
GN_1243,Pseudomonas aeruginosa,,761833572,,Pa NG 761833572,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,05/APR/22,ORGDB,17/AUG/22,,,,,CARBX-Nigeria-ICL,,,,,,,
GN_1244,Pseudomonas aeruginosa,,761833733,,Pa NG 761833733,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,05/APR/22,ORGDB,17/AUG/22,,,,,CARBX-Nigeria-ICL,,,,,,,
GN_1245,Pseudomonas aeruginosa,,761833746,,Pa NG 761833746,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,05/APR/22,ORGDB,17/AUG/22,,,,,CARBX-Nigeria-ICL,,,,,,,
GN_1246,Pseudomonas aeruginosa,,761839307,,Pa NG 761839307,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,05/APR/22,ORGDB,17/AUG/22,,,,,CARBX-Nigeria-ICL,,,,,,,
GN_1247,Pseudomonas aeruginosa,,761839999,,Pa NG 761839999,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,05/APR/22,ORGDB,17/AUG/22,,,,,CARBX-Nigeria-ICL,,,,,,,
GN_1248,Pseudomonas aeruginosa,,ML906,,,,,Gram-Negative,,,T.Duarte,,Aerobic,,,,1,ORGDB,05/APR/22,uqtduar2,29/MAY/22,,,,,,PC2.0,,,,,,
GN_1249,Pseudomonas fluorescens,,761757331,,,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,05/APR/22,,,,,,,CARBX-Nigeria-ICL,,,,,,,
GN_125,Klebsiella pneumoniae,,"Koprana, 100884378:01",Clinical Isolate;Resistant;Resistant XDR,,No info given,"Media conditions: LB/ NA/ caMHB
a.k.a. 16_GR_13 (Pitt ME et al. 2018. doi: 10.1099/mgen.0.000158)",Gram-Negative,RG2,,A.Elliott,,Anaerobic Facultative,,,,0,ORGDB,10/OCT/17,ORGDB,27/AUG/21,573,,,,,PC2.3,WGS,NCBI SAMN04868736,11,,,"OXA-1, OXA-10, OXA-48, SHV-11, TEM-1B, VEB-1, catB3, cmlA1, oqxA, oxqB, sul1, sul2, tet(A), tet(G), dfrA12, aac(6')lb-cr, mph(A), AAR-2"
GN_1250,Pseudomonas fluorescens,,761827467,,,,,Gram-Negative,,,T.Duarte,,Aerobic,,,,1,ORGDB,05/APR/22,uqtduar2,29/MAY/22,,,,,,PC2.0,,,,,,
GN_1251,Enterobacter cloacae,,3308BL-114,,En.cl ZM 3308BL-114,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,31/MAY/22,ORGDB,17/AUG/22,,,,,CARBX-Zambia-CIDRZ,,,,,,,
GN_1252,Escherichia coli,,2409NK2-1,,Ec ZM 2409NK2-1,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,31/MAY/22,ORGDB,17/AUG/22,,,,,CARBX-Zambia-CIDRZ,,,,,,,
GN_1253,Escherichia coli,,1925NK2-1,,Ec ZM 1925NK2-1,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,31/MAY/22,ORGDB,17/AUG/22,,,,,CARBX-Zambia-CIDRZ,,,,,,,
GN_1254,Escherichia coli,,2911NK-1,,Ec ZM 2911NK-1,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,31/MAY/22,ORGDB,17/AUG/22,,,,,CARBX-Zambia-CIDRZ,,,,,,,
GN_1255,Escherichia coli,,2012A,,Ec ZM 2012A,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,31/MAY/22,ORGDB,17/AUG/22,,,,,CARBX-Zambia-CIDRZ,,,,,,,
GN_1256,Escherichia coli,,2118NK2,,Ec ZM 2118NK2,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,31/MAY/22,ORGDB,17/AUG/22,,,,,CARBX-Zambia-CIDRZ,,,,,,,
GN_1257,Escherichia coli,,2394N1,,Ec ZM 2394N1,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,31/MAY/22,ORGDB,17/AUG/22,,,,,CARBX-Zambia-CIDRZ,,,,,,,
GN_1258,Escherichia coli,,2716BN-1,,Ec ZM 2716BN-1,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,31/MAY/22,ORGDB,17/AUG/22,,,,,CARBX-Zambia-CIDRZ,,,,,,,
GN_1259,Escherichia coli,,2814A,,Ec ZM 2814A,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,31/MAY/22,ORGDB,17/AUG/22,,,,,CARBX-Zambia-CIDRZ,,,,,,,
GN_126,Klebsiella pneumoniae,,"Koprana, 101094051:01",Clinical Isolate;Resistant;Resistant XDR,,KPC+,"Media conditions: LB/ NA/ caMHB
a.k.a. 17_GR_14 (Pitt ME et al. 2018. doi: 10.1099/mgen.0.000158)",Gram-Negative,RG2,,A.Elliott,,Anaerobic Facultative,,,,0,ORGDB,10/OCT/17,ORGDB,27/AUG/21,573,,,,,PC2.3,WGS,NCBI SAMN04868737,11,,,"OXA-1, OXA-10, OXA-48, SHV-11, TEM-1B, VEB-1, catB3, cmlA1, oqxA, oxqB, sul1, sul2, tet(A), tet(G), dfrA12, aac(6')lb-cr, mph(A), AAR-2"
GN_1260,Escherichia coli,,3107N-1,,Ec ZM 3107N-1,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,31/MAY/22,ORGDB,17/AUG/22,,,,,CARBX-Zambia-CIDRZ,,,,,,,
GN_1261,Escherichia coli,,3113A,,Ec ZM 3113A,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,31/MAY/22,ORGDB,17/AUG/22,,,,,CARBX-Zambia-CIDRZ,,,,,,,
GN_1262,Escherichia coli,,20BL117,,Ec ZM 20BL117,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,31/MAY/22,ORGDB,17/AUG/22,,,,,CARBX-Zambia-CIDRZ,,,,,,,
GN_1263,Escherichia coli,,67N-1,,Ec ZM 67N-1,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,31/MAY/22,ORGDB,17/AUG/22,,,,,CARBX-Zambia-CIDRZ,,,,,,,
GN_1264,Escherichia coli,,245NKU,,Ec ZM 245NKU,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,31/MAY/22,ORGDB,17/AUG/22,,,,,CARBX-Zambia-CIDRZ,,,,,,,
GN_1265,Escherichia coli,,1345NK2-1,,Ec ZM 1345NK2-1,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,31/MAY/22,ORGDB,17/AUG/22,,,,,CARBX-Zambia-CIDRZ,,,,,,,
GN_1266,Escherichia coli,,269NKU,,Ec ZM 269NKU,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,31/MAY/22,ORGDB,17/AUG/22,,,,,CARBX-Zambia-CIDRZ,,,,,,,
GN_1267,Escherichia coli,,1290NKU,,Ec ZM 1290NKU,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,31/MAY/22,ORGDB,17/AUG/22,,,,,CARBX-Zambia-CIDRZ,,,,,,,
GN_1268,Escherichia coli,,1504NK2-1,,Ec ZM 1504NK2-1,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,31/MAY/22,ORGDB,17/AUG/22,,,,,CARBX-Zambia-CIDRZ,,,,,,,
GN_1269,Klebsiella oxytoca,,3362NK-1,,Ko ZM 3362NK-1,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,31/MAY/22,ORGDB,17/AUG/22,,,,,CARBX-Zambia-CIDRZ,,,,,,,
GN_127,Klebsiella pneumoniae,,"Kalliergeia Apo, 201084269:01",Clinical Isolate;Resistant;Resistant XDR,,"Resistant Carbapenems (impermeability), ESBL + Carbapenemase (METALLO- OR KPC), Resistant GEN TOB NET AMI (AAC(6')+?)","Media conditions: LB/ NA/ caMHB
a.k.a. 18_GR_14 (Pitt ME et al. 2018. doi: 10.1099/mgen.0.000158)",Gram-Negative,RG2,,A.Elliott,,Anaerobic Facultative,,,,0,ORGDB,10/OCT/17,ORGDB,27/AUG/21,573,,,,,PC2.3,WGS,NCBI SAMN04868738,258,,,"KPC-2, oqxA, oqxB, sul1, dfrA12, aac(6')lb-cr, mph(A)"
GN_1270,Klebsiella oxytoca,,2315NKU,,Ko ZM 2315NKU,,,Gram-Negative,,,T.Duarte,,,,,,,ORGDB,31/MAY/22,ORGDB,17/AUG/22,,,,,CARBX-Zambia-CIDRZ,,,,,,,
